# x_ref_m;y_ref_m;width_right_m;width_left_m;x_normvec_m;y_normvec_m;alpha_m;s_racetraj_m;psi_racetraj_rad;kappa_racetraj_radpm;vx_racetraj_mps;ax_racetraj_mps2;banking_rad;s_ref_m;psi_ref_rad;kappa_ref_radpm;dkappa_ref_radpm2
-16.5080170;-119.8738760;-7.2388050;7.2371310;-0.1394669;0.9902267;-1.2428682;13.9988850;0.1337480;-0.0000690;62.6124140;2.2041920;0.0001990;13.9992810;0.1399230;0.0000140;0.0000000
-16.0129290;-119.8041440;-7.2380800;7.2370930;-0.1394738;0.9902258;-1.2462323;14.4988450;0.1337130;-0.0000690;62.6299980;2.2007890;0.0001930;14.4992560;0.1399300;0.0000150;0.0000020
-15.5178420;-119.7344090;-7.2376810;7.2373830;-0.1394817;0.9902246;-1.2496151;14.9988050;0.1336790;-0.0000690;62.6475510;2.1973930;0.0001870;14.9992300;0.1399380;0.0000150;0.0000000
-15.0227550;-119.6646700;-7.2376620;7.2379060;-0.1394896;0.9902235;-1.2530192;15.4987650;0.1336450;-0.0000690;62.6650710;2.1940010;0.0001800;15.4992040;0.1399460;0.0000160;0.0000020
-14.5276690;-119.5949270;-7.2380340;7.2385480;-0.1394976;0.9902224;-1.2564443;15.9987250;0.1336100;-0.0000680;62.6825590;2.1906140;0.0001740;15.9991790;0.1399540;0.0000160;0.0000000
-14.0325840;-119.5251800;-7.2387710;7.2391840;-0.1395055;0.9902213;-1.2598888;16.4986860;0.1335760;-0.0000680;62.7000160;2.1872330;0.0001680;16.4991530;0.1399620;0.0000170;0.0000020
-13.5374990;-119.4554290;-7.2398130;7.2396900;-0.1395134;0.9902202;-1.2633553;16.9986460;0.1335420;-0.0000680;62.7174410;2.1838560;0.0001610;16.9991270;0.1399700;0.0000170;0.0000000
-13.0424140;-119.3856730;-7.2410740;7.2399640;-0.1395223;0.9902189;-1.2668415;17.4986060;0.1335080;-0.0000680;62.7348340;2.1804850;0.0001540;17.4991020;0.1399790;0.0000180;0.0000020
-12.5473310;-119.3159140;-7.2424530;7.2399290;-0.1395312;0.9902177;-1.2703480;17.9985660;0.1334740;-0.0000680;62.7521950;2.1771200;0.0001470;17.9990760;0.1399880;0.0000180;0.0000000
-12.0522470;-119.2461490;-7.2438510;7.2395520;-0.1395401;0.9902164;-1.2738764;18.4985260;0.1334400;-0.0000680;62.7695250;2.1737590;0.0001410;18.4990500;0.1399970;0.0000190;0.0000020
